Num,sheet_id,page,slot,slot_name,image_path,char,yomi,style,note,set,,,
2,梅艶昔年枝_1,1,1,right_top,data/images/KAI_p001_01.png,梅,うめ,楷書,,梅艶昔年枝,O,2,O
3,梅艶昔年枝_2,1,2,right_middle,data/images/KAI_p001_02.png,艶,つや,楷書,,梅艶昔年枝,O,2,O
4,梅艶昔年枝_3,1,3,right_bottom,data/images/KAI_p001_03.png,昔,むかし,楷書,,梅艶昔年枝,O,2,O
5,梅艶昔年枝_4,1,4,left_top,data/images/KAI_p001_04.png,年,ねん,楷書,,梅艶昔年枝,O,2,O
6,梅艶昔年枝_5,1,5,left_middle,data/images/KAI_p001_05.png,枝,えだ,楷書,,梅艶昔年枝,O,2,O
7,早雁拂金河_1,2,1,right_top,data/images/KAI_p002_01.png,早,そう,楷書,,早雁拂金河,X,7,O
8,早雁拂金河_2,2,2,right_middle,data/images/KAI_p002_02.png,雁,がん,楷書,,早雁拂金河,X,7,O
9,早雁拂金河_3,2,3,right_bottom,data/images/KAI_p002_03.png,拂,ふつ,楷書,払,早雁拂金河,X,7,O
10,早雁拂金河_4,2,4,left_top,data/images/KAI_p002_04.png,金,きん,楷書,,早雁拂金河,X,7,O
11,早雁拂金河_5,2,5,left_middle,data/images/KAI_p002_05.png,河,かわ,楷書,,早雁拂金河,X,7,O
12,移竹喜微陰_1,3,1,right_top,data/images/KAI_p003_01.png,移,い,楷書,,移竹喜微陰,X,12,O
13,移竹喜微陰_2,3,2,right_middle,data/images/KAI_p003_02.png,竹,たけ,楷書,,移竹喜微陰,X,12,O
14,移竹喜微陰_3,3,3,right_bottom,data/images/KAI_p003_03.png,喜,き,楷書,,移竹喜微陰,X,12,O
15,移竹喜微陰_4,3,4,left_top,data/images/KAI_p003_04.png,微,び,楷書,,移竹喜微陰,X,12,O
16,移竹喜微陰_5,3,5,left_middle,data/images/KAI_p003_05.png,陰,いん,楷書,,移竹喜微陰,X,12,O
17,清坐契心賞_1,4,1,right_top,data/images/KAI_p004_01.png,清,きよし,楷書,,清坐契心賞,O,17,O
18,清坐契心賞_2,4,2,right_middle,data/images/KAI_p004_02.png,坐,ざ,楷書,,清坐契心賞,O,17,O
19,清坐契心賞_3,4,3,right_bottom,data/images/KAI_p004_03.png,契,けい,楷書,,清坐契心賞,O,17,O
20,清坐契心賞_4,4,4,left_top,data/images/KAI_p004_04.png,心,こころ,楷書,,清坐契心賞,O,17,O
21,清坐契心賞_5,4,5,left_middle,data/images/KAI_p004_05.png,賞,しょう,楷書,,清坐契心賞,O,17,O
22,保合播春風_1,5,1,right_top,data/images/KAI_p005_01.png,保,ほ,楷書,,保合播春風,O,22,O
23,保合播春風_2,5,2,right_middle,data/images/KAI_p005_02.png,合,ごう,楷書,,保合播春風,O,22,O
24,保合播春風_3,5,3,right_bottom,data/images/KAI_p005_03.png,播,ばん,楷書,,保合播春風,O,22,O
25,保合播春風_4,5,4,left_top,data/images/KAI_p005_04.png,春,はる,楷書,,保合播春風,O,22,O
26,保合播春風_5,5,5,left_middle,data/images/KAI_p005_05.png,風,かぜ,楷書,,保合播春風,O,22,O
27,松竹助清幽_1,6,1,right_top,data/images/KAI_p006_01.png,松,まつ,楷書,,松竹助清幽,X,27,O
28,松竹助清幽_2,6,2,right_middle,data/images/KAI_p006_02.png,竹,たけ,楷書,,松竹助清幽,X,27,O
29,松竹助清幽_3,6,3,right_bottom,data/images/KAI_p006_03.png,助,じょ,楷書,,松竹助清幽,X,27,O
30,松竹助清幽_4,6,4,left_top,data/images/KAI_p006_04.png,清,きよし,楷書,,松竹助清幽,X,27,O
31,松竹助清幽_5,6,5,left_middle,data/images/KAI_p006_05.png,幽,ゆう,楷書,,松竹助清幽,X,27,O
32,黄鳥話春深_1,7,1,right_top,data/images/KAI_p007_01.png,黄,き,楷書,,黄鳥話春深,O,32,O
33,黄鳥話春深_2,7,2,right_middle,data/images/KAI_p007_02.png,鳥,とり,楷書,,黄鳥話春深,O,32,O
34,黄鳥話春深_3,7,3,right_bottom,data/images/KAI_p007_03.png,話,はなし,楷書,,黄鳥話春深,O,32,O
35,黄鳥話春深_4,7,4,left_top,data/images/KAI_p007_04.png,春,はる,楷書,,黄鳥話春深,O,32,O
36,黄鳥話春深_5,7,5,left_middle,data/images/KAI_p007_05.png,深,しん,楷書,,黄鳥話春深,O,32,O
37,秋風枝上鮮_1,8,1,right_top,data/images/KAI_p008_01.png,秋,あき,楷書,,秋風枝上鮮,X,37,O
38,秋風枝上鮮_2,8,2,right_middle,data/images/KAI_p008_02.png,風,かぜ,楷書,,秋風枝上鮮,X,37,O
39,秋風枝上鮮_3,8,3,right_bottom,data/images/KAI_p008_03.png,枝,えだ,楷書,,秋風枝上鮮,X,37,O
40,秋風枝上鮮_4,8,4,left_top,data/images/KAI_p008_04.png,上,うえ,楷書,,秋風枝上鮮,X,37,O
41,秋風枝上鮮_5,8,5,left_middle,data/images/KAI_p008_05.png,鮮,せん,楷書,,秋風枝上鮮,X,37,O
42,萬家太平春_1,9,1,right_top,data/images/KAI_p009_01.png,萬,まん,楷書,,萬家太平春,X,42,O
43,萬家太平春_2,9,2,right_middle,data/images/KAI_p009_02.png,家,いえ,楷書,,萬家太平春,X,42,O
44,萬家太平春_3,9,3,right_bottom,data/images/KAI_p009_03.png,太,た,楷書,,萬家太平春,X,42,O
45,萬家太平春_4,9,4,left_top,data/images/KAI_p009_04.png,平,たいら,楷書,,萬家太平春,X,42,O
46,萬家太平春_5,9,5,left_middle,data/images/KAI_p009_05.png,春,はる,楷書,,萬家太平春,X,42,O
47,白雲還自散_1,10,1,right_top,data/images/KAI_p010_01.png,白,しろ,楷書,,白雲還自散,X,47,O
48,白雲還自散_2,10,2,right_middle,data/images/KAI_p010_02.png,雲,くも,楷書,,白雲還自散,X,47,O
49,白雲還自散_3,10,3,right_bottom,data/images/KAI_p010_03.png,還,かん,楷書,,白雲還自散,X,47,O
50,白雲還自散_4,10,4,left_top,data/images/KAI_p010_04.png,自,じ,楷書,,白雲還自散,X,47,O
51,白雲還自散_5,10,5,left_middle,data/images/KAI_p010_05.png,散,さん,楷書,,白雲還自散,X,47,O
52,千峰紅葉村_1,11,1,right_top,data/images/KAI_p011_01.png,千,せん,楷書,,千峰紅葉村,O,52,O
53,千峰紅葉村_2,11,2,right_middle,data/images/KAI_p011_02.png,峰,みね,楷書,,千峰紅葉村,O,52,O
54,千峰紅葉村_3,11,3,right_bottom,data/images/KAI_p011_03.png,紅,くれない,楷書,,千峰紅葉村,O,52,O
55,千峰紅葉村_4,11,4,left_top,data/images/KAI_p011_04.png,葉,は,楷書,,千峰紅葉村,O,52,O
56,千峰紅葉村_5,11,5,left_middle,data/images/KAI_p011_05.png,村,むら,楷書,,千峰紅葉村,O,52,O
57,日晒硯池氷_1,12,1,right_top,data/images/KAI_p012_01.png,日,にち,楷書,,日晒硯池氷,X,57,O
58,日晒硯池氷_2,12,2,right_middle,data/images/KAI_p012_02.png,晒,さらし,楷書,,日晒硯池氷,X,57,O
59,日晒硯池氷_3,12,3,right_bottom,data/images/KAI_p012_03.png,硯,すずり,楷書,,日晒硯池氷,X,57,O
60,日晒硯池氷_4,12,4,left_top,data/images/KAI_p012_04.png,池,いけ,楷書,,日晒硯池氷,X,57,O
61,日晒硯池氷_5,12,5,left_middle,data/images/KAI_p012_05.png,氷,こおり,楷書,,日晒硯池氷,X,57,O
62,新庭松桂香_1,13,1,right_top,data/images/KAI_p013_01.png,新,しん,楷書,,新庭松桂香,X,62,O
63,新庭松桂香_2,13,2,right_middle,data/images/KAI_p013_02.png,庭,にわ,楷書,,新庭松桂香,X,62,O
64,新庭松桂香_3,13,3,right_bottom,data/images/KAI_p013_03.png,松,まつ,楷書,,新庭松桂香,X,62,O
65,新庭松桂香_4,13,4,left_top,data/images/KAI_p013_04.png,桂,かつら,楷書,,新庭松桂香,X,62,O
66,新庭松桂香_5,13,5,left_middle,data/images/KAI_p013_05.png,香,かおり,楷書,,新庭松桂香,X,62,O
67,茶話坐忘機_1,14,1,right_top,data/images/KAI_p014_01.png,茶,ちゃ,楷書,,茶話坐忘機,X,67,O
68,茶話坐忘機_2,14,2,right_middle,data/images/KAI_p014_02.png,話,はなし,楷書,,茶話坐忘機,X,67,O
69,茶話坐忘機_3,14,3,right_bottom,data/images/KAI_p014_03.png,坐,ざ,楷書,,茶話坐忘機,X,67,O
70,茶話坐忘機_4,14,4,left_top,data/images/KAI_p014_04.png,忘,ぼう,楷書,,茶話坐忘機,X,67,O
71,茶話坐忘機_5,14,5,left_middle,data/images/KAI_p014_05.png,機,き,楷書,,茶話坐忘機,X,67,O
72,竹細野池幽_1,15,1,right_top,data/images/KAI_p015_01.png,竹,たけ,楷書,,竹細野池幽,O,72,O
73,竹細野池幽_2,15,2,right_middle,data/images/KAI_p015_02.png,細,さい,楷書,,竹細野池幽,O,72,O
74,竹細野池幽_3,15,3,right_bottom,data/images/KAI_p015_03.png,野,の,楷書,,竹細野池幽,O,72,O
75,竹細野池幽_4,15,4,left_top,data/images/KAI_p015_04.png,池,いけ,楷書,,竹細野池幽,O,72,O
76,竹細野池幽_5,15,5,left_middle,data/images/KAI_p015_05.png,幽,ゆう,楷書,,竹細野池幽,O,72,O
77,木葉動秋聲_1,16,1,right_top,data/images/KAI_p016_01.png,木,き,楷書,,木葉動秋聲,X,77,O
78,木葉動秋聲_2,16,2,right_middle,data/images/KAI_p016_02.png,葉,は,楷書,,木葉動秋聲,X,77,O
79,木葉動秋聲_3,16,3,right_bottom,data/images/KAI_p016_03.png,動,どう,楷書,,木葉動秋聲,X,77,O
80,木葉動秋聲_4,16,4,left_top,data/images/KAI_p016_04.png,秋,あき,楷書,,木葉動秋聲,X,77,O
81,木葉動秋聲_5,16,5,left_middle,data/images/KAI_p016_05.png,聲,こえ,楷書,,木葉動秋聲,X,77,O
82,寒窓夢不成_1,17,1,right_top,data/images/KAI_p017_01.png,寒,かん,楷書,,寒窓夢不成,X,82,O
83,寒窓夢不成_2,17,2,right_middle,data/images/KAI_p017_02.png,窓,まど,楷書,,寒窓夢不成,X,82,O
84,寒窓夢不成_3,17,3,right_bottom,data/images/KAI_p017_03.png,夢,ゆめ,楷書,,寒窓夢不成,X,82,O
85,寒窓夢不成_4,17,4,left_top,data/images/KAI_p017_04.png,不,ふ,楷書,,寒窓夢不成,X,82,O
